Plot Title: 20366935,,between foam mylar,foam mylar air
#,"Date Time, GMT -0400","Temp, °C - 1","Temp, °C - 2"
1,2018-06-10 15:54:07,35.30,32.17
2,2018-06-10 15:55:07,35.05,31.49
3,2018-06-10 15:56:07,34.79,28.91
4,2018-06-10 15:57:07,34.45,27.32
5,2018-06-10 15:58:07,34.10,29.68
6,2018-06-10 15:59:07,33.85,26.94
7,2018-06-10 16:00:07,33.46,27.54
8,2018-06-10 16:01:07,33.12,27.67
9,2018-06-10 16:02:07,32.86,24.41
10,2018-06-10 16:03:07,32.47,23.08
11,2018-06-10 16:04:07,32.22,23.08
12,2018-06-10 16:05:07,31.92,23.29
13,2018-06-10 16:06:07,31.53,22.73
14,2018-06-10 16:07:07,31.23,22.61
15,2018-06-10 16:08:07,30.84,24.32
16,2018-06-10 16:09:07,30.46,26.17
17,2018-06-10 16:10:07,30.16,27.67
18,2018-06-10 16:11:07,29.77,28.23
19,2018-06-10 16:12:07,29.38,30.11
20,2018-06-10 16:13:07,29.00,31.06
21,2018-06-10 16:14:07,28.61,32.60
22,2018-06-10 16:15:07,28.23,30.71
23,2018-06-10 16:16:07,27.88,30.20
24,2018-06-10 16:17:07,27.54,28.31
25,2018-06-10 16:18:07,27.24,26.04
26,2018-06-10 16:19:07,26.94,25.69
27,2018-06-10 16:20:07,26.64,25.95
28,2018-06-10 16:21:07,26.34,26.30
29,2018-06-10 16:22:07,26.12,26.38
30,2018-06-10 16:23:07,25.87,25.09
31,2018-06-10 16:24:07,25.52,24.75
32,2018-06-10 16:25:07,25.31,24.11
33,2018-06-10 16:26:07,25.01,23.64
34,2018-06-10 16:27:07,24.75,23.85
35,2018-06-10 16:28:07,24.54,23.72
36,2018-06-10 16:29:07,24.28,23.51
37,2018-06-10 16:30:07,24.02,23.34
38,2018-06-10 16:31:07,23.81,22.78
39,2018-06-10 16:32:07,23.55,21.92
40,2018-06-10 16:33:07,23.29,22.48
41,2018-06-10 16:34:07,23.08,23.29
42,2018-06-10 16:35:07,22.82,24.41
43,2018-06-10 16:36:07,22.52,26.60
44,2018-06-10 16:37:07,22.35,28.70
45,2018-06-10 16:38:07,22.09,29.64
46,2018-06-10 16:39:07,21.83,31.23
47,2018-06-10 16:40:07,21.62,33.46
48,2018-06-10 16:41:07,21.40,32.30
49,2018-06-10 16:42:07,21.19,30.54
50,2018-06-10 16:43:07,20.98,29.47
51,2018-06-10 16:44:07,20.80,29.38
52,2018-06-10 16:45:07,20.68,30.07
53,2018-06-10 16:46:07,20.50,31.87
54,2018-06-10 16:47:07,20.33,33.37
55,2018-06-10 16:48:07,20.25,32.43
56,2018-06-10 16:49:07,20.12,31.19
57,2018-06-10 16:50:07,20.03,32.30
58,2018-06-10 16:51:07,19.99,32.94
59,2018-06-10 16:52:07,19.86,32.86
60,2018-06-10 16:53:07,19.82,33.97
61,2018-06-10 16:54:07,19.73,32.82
62,2018-06-10 16:55:07,19.69,31.57
63,2018-06-10 16:56:07,19.60,32.43
64,2018-06-10 16:57:07,19.60,31.53
65,2018-06-10 16:58:07,19.52,31.96
66,2018-06-10 16:59:07,19.47,31.23
67,2018-06-10 17:00:07,19.56,29.56
68,2018-06-10 17:01:07,19.52,30.89
69,2018-06-10 17:02:07,19.43,32.43
70,2018-06-10 17:03:07,19.43,32.09
71,2018-06-10 17:04:07,19.39,31.14
72,2018-06-10 17:05:07,19.39,29.21
73,2018-06-10 17:06:07,19.43,28.61
74,2018-06-10 17:07:07,19.35,27.97
75,2018-06-10 17:08:07,19.35,27.15
76,2018-06-10 17:09:07,19.35,27.63
77,2018-06-10 17:10:07,19.30,28.27
78,2018-06-10 17:11:07,19.30,28.65
79,2018-06-10 17:12:07,19.22,27.93
80,2018-06-10 17:13:07,19.13,26.47
81,2018-06-10 17:14:07,19.09,24.92
82,2018-06-10 17:15:07,19.05,23.68
83,2018-06-10 17:16:07,19.00,22.69
84,2018-06-10 17:17:07,18.96,22.01
85,2018-06-10 17:18:07,18.87,21.88
86,2018-06-10 17:19:07,18.74,21.49
87,2018-06-10 17:20:07,18.70,21.02
88,2018-06-10 17:21:07,18.57,21.45
89,2018-06-10 17:22:07,18.53,21.66
90,2018-06-10 17:23:07,18.44,22.01
91,2018-06-10 17:24:07,18.32,22.86
92,2018-06-10 17:25:07,18.19,23.34
93,2018-06-10 17:26:07,18.06,23.59
94,2018-06-10 17:27:07,17.93,24.06
95,2018-06-10 17:28:07,17.76,24.24
96,2018-06-10 17:29:07,17.63,23.81
97,2018-06-10 17:30:07,17.54,23.94
98,2018-06-10 17:31:07,17.41,24.41
99,2018-06-10 17:32:07,17.33,23.46
100,2018-06-10 17:33:07,17.20,23.08
101,2018-06-10 17:34:07,17.11,22.78
102,2018-06-10 17:35:07,16.94,22.69
103,2018-06-10 17:36:07,16.86,22.43
104,2018-06-10 17:37:07,16.77,21.88
105,2018-06-10 17:38:07,16.69,21.62
106,2018-06-10 17:39:07,16.56,21.06
107,2018-06-10 17:40:07,16.47,20.89
108,2018-06-10 17:41:07,16.39,20.55
109,2018-06-10 17:42:07,16.30,21.06
110,2018-06-10 17:43:07,16.26,21.62
111,2018-06-10 17:44:07,16.13,21.96
112,2018-06-10 17:45:07,16.04,23.03
113,2018-06-10 17:46:07,15.91,22.99
114,2018-06-10 17:47:07,15.87,23.34
115,2018-06-10 17:48:07,15.74,23.64
116,2018-06-10 17:49:07,15.61,23.21
117,2018-06-10 17:50:07,15.57,24.66
118,2018-06-10 17:51:07,15.53,24.49
119,2018-06-10 17:52:07,15.40,23.72
120,2018-06-10 17:53:07,15.31,22.69
121,2018-06-10 17:54:07,15.23,22.35
122,2018-06-10 17:55:07,15.18,23.42
123,2018-06-10 17:56:07,15.06,25.05
124,2018-06-10 17:57:07,15.01,25.44
125,2018-06-10 17:58:07,15.01,27.24
126,2018-06-10 17:59:07,14.88,27.97
127,2018-06-10 18:00:07,14.84,27.20
128,2018-06-10 18:01:07,14.80,27.32
129,2018-06-10 18:02:07,14.75,27.07
130,2018-06-10 18:03:07,14.71,26.60
131,2018-06-10 18:04:07,14.63,26.81
132,2018-06-10 18:05:07,14.58,27.20
133,2018-06-10 18:06:07,14.58,26.72
134,2018-06-10 18:07:07,14.54,26.04
135,2018-06-10 18:08:07,14.54,25.61
136,2018-06-10 18:09:07,14.54,25.31
137,2018-06-10 18:10:07,14.50,24.62
138,2018-06-10 18:11:07,14.54,24.41
139,2018-06-10 18:12:07,14.50,25.09
140,2018-06-10 18:13:07,14.41,24.32
141,2018-06-10 18:14:07,14.50,25.05
142,2018-06-10 18:15:07,14.45,25.14
143,2018-06-10 18:16:07,14.45,24.54
144,2018-06-10 18:17:07,14.37,25.18
145,2018-06-10 18:18:07,14.41,25.95
146,2018-06-10 18:19:07,14.37,25.82
147,2018-06-10 18:20:07,14.33,25.78
148,2018-06-10 18:21:07,14.33,25.99
149,2018-06-10 18:22:07,14.24,26.68
150,2018-06-10 18:23:07,14.24,25.78
151,2018-06-10 18:24:07,14.20,25.74
152,2018-06-10 18:25:07,14.20,25.22
153,2018-06-10 18:26:07,14.20,25.69
154,2018-06-10 18:27:07,14.15,25.65
155,2018-06-10 18:28:07,14.11,25.05
156,2018-06-10 18:29:07,14.11,24.88
157,2018-06-10 18:30:07,14.11,24.92
158,2018-06-10 18:31:07,14.11,24.62
159,2018-06-10 18:32:07,14.07,23.46
160,2018-06-10 18:33:07,14.03,22.99
161,2018-06-10 18:34:07,14.03,23.42
162,2018-06-10 18:35:07,13.98,22.78
163,2018-06-10 18:36:07,13.98,23.38
164,2018-06-10 18:37:07,13.94,23.59
165,2018-06-10 18:38:07,13.94,23.94
166,2018-06-10 18:39:07,13.94,24.11
167,2018-06-10 18:40:07,13.90,23.42
168,2018-06-10 18:41:07,13.85,23.59
169,2018-06-10 18:42:07,13.85,23.59
170,2018-06-10 18:43:07,13.81,23.76
171,2018-06-10 18:44:07,13.81,23.55
172,2018-06-10 18:45:07,13.73,23.25
173,2018-06-10 18:46:07,13.73,23.16
174,2018-06-10 18:47:07,13.68,22.91
175,2018-06-10 18:48:07,13.68,22.65
176,2018-06-10 18:49:07,13.68,22.39
177,2018-06-10 18:50:07,13.64,22.35
178,2018-06-10 18:51:07,13.60,22.13
179,2018-06-10 18:52:07,13.55,21.75
180,2018-06-10 18:53:07,13.55,21.62
181,2018-06-10 18:54:07,13.51,21.83
182,2018-06-10 18:55:07,13.47,21.58
183,2018-06-10 18:56:07,13.47,21.96
184,2018-06-10 18:57:07,13.43,22.13
185,2018-06-10 18:58:07,13.38,21.79
186,2018-06-10 18:59:07,13.34,21.66
187,2018-06-10 19:00:07,13.34,21.70
188,2018-06-10 19:01:07,13.25,21.40
189,2018-06-10 19:02:07,13.25,21.45
190,2018-06-10 19:03:07,13.21,21.36
191,2018-06-10 19:04:07,13.12,21.02
192,2018-06-10 19:05:07,13.17,20.98
193,2018-06-10 19:06:07,13.08,20.55
194,2018-06-10 19:07:07,13.04,20.63
195,2018-06-10 19:08:07,13.04,20.59
196,2018-06-10 19:09:07,12.95,20.63
197,2018-06-10 19:10:07,12.91,20.80
198,2018-06-10 19:11:07,12.87,20.98
199,2018-06-10 19:12:07,12.87,20.55
200,2018-06-10 19:13:07,12.82,20.29
201,2018-06-10 19:14:07,12.78,20.42
202,2018-06-10 19:15:07,12.70,20.42
203,2018-06-10 19:16:07,12.65,20.20
204,2018-06-10 19:17:07,12.65,20.12
205,2018-06-10 19:18:07,12.61,20.42
206,2018-06-10 19:19:07,12.52,20.07
207,2018-06-10 19:20:07,12.48,19.95
208,2018-06-10 19:21:07,12.48,19.82
209,2018-06-10 19:22:07,12.40,19.47
210,2018-06-10 19:23:07,12.31,19.30
211,2018-06-10 19:24:07,12.27,19.17
212,2018-06-10 19:25:07,12.27,18.92
213,2018-06-10 19:26:07,12.18,18.83
214,2018-06-10 19:27:07,12.14,18.66
215,2018-06-10 19:28:07,12.05,18.87
216,2018-06-10 19:29:07,12.01,18.79
217,2018-06-10 19:30:07,11.97,18.36
218,2018-06-10 19:31:07,11.88,17.76
219,2018-06-10 19:32:07,11.88,17.11
220,2018-06-10 19:33:07,11.84,16.39
221,2018-06-10 19:34:07,11.84,15.70
222,2018-06-10 19:35:07,11.75,15.14
223,2018-06-10 19:36:07,11.67,14.84
224,2018-06-10 19:37:07,11.62,14.63
225,2018-06-10 19:38:07,11.58,14.41
226,2018-06-10 19:39:07,11.49,14.33
227,2018-06-10 19:40:07,11.45,14.24
228,2018-06-10 19:41:07,11.37,14.20
229,2018-06-10 19:42:07,11.32,14.15
230,2018-06-10 19:43:07,11.24,14.07
231,2018-06-10 19:44:07,11.15,14.03
232,2018-06-10 19:45:07,11.11,13.85
233,2018-06-10 19:46:07,11.02,13.81
234,2018-06-10 19:47:07,10.89,13.81
235,2018-06-10 19:48:07,10.85,13.73
236,2018-06-10 19:49:07,10.77,13.60
237,2018-06-10 19:50:07,10.68,13.47
238,2018-06-10 19:51:07,10.64,13.47
239,2018-06-10 19:52:07,10.51,13.47
240,2018-06-10 19:53:07,10.51,13.25
241,2018-06-10 19:54:07,10.42,13.12
242,2018-06-10 19:55:07,10.34,13.00
243,2018-06-10 19:56:07,10.25,12.91
244,2018-06-10 19:57:07,10.16,13.00
245,2018-06-10 19:58:07,10.12,12.95
246,2018-06-10 19:59:07,10.04,12.91
247,2018-06-10 20:00:07,9.95,12.82
248,2018-06-10 20:01:07,9.91,12.82
249,2018-06-10 20:02:07,9.78,12.70
250,2018-06-10 20:03:07,9.78,12.74
251,2018-06-10 20:04:07,9.65,12.61
252,2018-06-10 20:05:07,9.61,12.52
253,2018-06-10 20:06:07,9.56,12.48
254,2018-06-10 20:07:07,9.44,12.44
255,2018-06-10 20:08:07,9.39,12.35
256,2018-06-10 20:09:07,9.31,12.31
257,2018-06-10 20:10:07,9.26,12.35
258,2018-06-10 20:11:07,9.22,12.22
259,2018-06-10 20:12:07,9.09,12.18
260,2018-06-10 20:13:07,9.05,11.97
261,2018-06-10 20:14:07,9.01,12.01
262,2018-06-10 20:15:07,8.92,11.97
263,2018-06-10 20:16:07,8.83,12.05
264,2018-06-10 20:17:07,8.79,11.92
265,2018-06-10 20:18:07,8.79,11.67
266,2018-06-10 20:19:07,8.75,11.32
267,2018-06-10 20:20:07,8.62,11.02
268,2018-06-10 20:21:07,8.58,10.98
269,2018-06-10 20:22:07,8.49,11.11
270,2018-06-10 20:23:07,8.45,11.24
271,2018-06-10 20:24:07,8.41,11.28
272,2018-06-10 20:25:07,8.32,11.28
273,2018-06-10 20:26:07,8.28,11.02
274,2018-06-10 20:27:07,8.23,10.81
275,2018-06-10 20:28:07,8.15,10.68
276,2018-06-10 20:29:07,8.11,10.38
277,2018-06-10 20:30:07,8.02,10.25
278,2018-06-10 20:31:07,7.98,10.12
279,2018-06-10 20:32:07,7.89,10.08
280,2018-06-10 20:33:07,7.85,9.95
281,2018-06-10 20:34:07,7.81,10.04
282,2018-06-10 20:35:07,7.76,10.16
283,2018-06-10 20:36:07,7.72,10.16
284,2018-06-10 20:37:07,7.68,9.99
285,2018-06-10 20:38:07,7.59,9.82
286,2018-06-10 20:39:07,7.42,10.04
287,2018-06-10 20:40:07,7.46,10.21
288,2018-06-10 20:41:07,7.38,10.21
289,2018-06-10 20:42:07,7.33,10.21
290,2018-06-10 20:43:07,7.29,10.12
291,2018-06-10 20:44:07,7.20,10.21
292,2018-06-10 20:45:07,7.12,10.21
293,2018-06-10 20:46:07,7.16,10.25
294,2018-06-10 20:47:07,7.08,10.16
295,2018-06-10 20:48:07,6.99,10.25
296,2018-06-10 20:49:07,6.95,10.16
297,2018-06-10 20:50:07,6.90,9.99
298,2018-06-10 20:51:07,6.86,9.82
299,2018-06-10 20:52:07,6.82,9.78
300,2018-06-10 20:53:07,6.78,9.69
301,2018-06-10 20:54:07,6.73,9.61
302,2018-06-10 20:55:07,6.69,9.65
303,2018-06-10 20:56:07,6.65,9.39
304,2018-06-10 20:57:07,6.60,9.18
305,2018-06-10 20:58:07,6.56,9.14
306,2018-06-10 20:59:07,6.56,9.09
307,2018-06-10 21:00:07,6.48,9.14
308,2018-06-10 21:01:07,6.48,8.96
309,2018-06-10 21:02:07,6.39,8.79
310,2018-06-10 21:03:07,6.39,8.71
311,2018-06-10 21:04:07,6.30,8.75
312,2018-06-10 21:05:07,6.26,8.75
313,2018-06-10 21:06:07,6.22,8.83
314,2018-06-10 21:07:07,6.17,9.01
315,2018-06-10 21:08:07,6.13,8.96
316,2018-06-10 21:09:07,6.09,9.01
317,2018-06-10 21:10:07,6.05,8.83
318,2018-06-10 21:11:07,6.00,8.96
319,2018-06-10 21:12:07,5.96,8.83
320,2018-06-10 21:13:07,5.87,8.71
321,2018-06-10 21:14:07,5.83,8.53
322,2018-06-10 21:15:07,5.75,8.36
323,2018-06-10 21:16:07,5.75,8.23
324,2018-06-10 21:17:07,5.66,8.06
325,2018-06-10 21:18:07,5.62,8.02
326,2018-06-10 21:19:07,5.53,7.93
327,2018-06-10 21:20:07,5.53,7.85
328,2018-06-10 21:21:07,5.49,7.81
329,2018-06-10 21:22:07,5.45,7.68
330,2018-06-10 21:23:07,5.40,7.50
331,2018-06-10 21:24:07,5.36,7.46
332,2018-06-10 21:25:07,5.27,7.38
333,2018-06-10 21:26:07,5.27,7.42
334,2018-06-10 21:27:07,5.15,7.46
335,2018-06-10 21:28:07,5.10,7.38
336,2018-06-10 21:29:07,5.06,7.20
337,2018-06-10 21:30:07,5.02,7.38
338,2018-06-10 21:31:07,4.93,7.42
339,2018-06-10 21:32:07,4.84,7.33
340,2018-06-10 21:33:07,4.84,7.33
341,2018-06-10 21:34:07,4.76,7.25
342,2018-06-10 21:35:07,4.72,7.42
343,2018-06-10 21:36:07,4.67,7.50
344,2018-06-10 21:37:07,4.67,7.46
345,2018-06-10 21:38:07,4.59,7.63
346,2018-06-10 21:39:07,4.59,7.68
347,2018-06-10 21:40:07,4.50,7.89
348,2018-06-10 21:41:07,4.50,8.02
349,2018-06-10 21:42:07,4.42,8.15
350,2018-06-10 21:43:07,4.42,8.19
351,2018-06-10 21:44:07,4.37,8.19
352,2018-06-10 21:45:07,4.33,8.15
353,2018-06-10 21:46:07,4.24,8.11
354,2018-06-10 21:47:07,4.29,8.11
355,2018-06-10 21:48:07,4.20,7.85
356,2018-06-10 21:49:07,4.20,7.33
357,2018-06-10 21:50:07,4.12,7.55
358,2018-06-10 21:51:07,4.16,7.63
359,2018-06-10 21:52:07,4.16,7.76
360,2018-06-10 21:53:07,4.16,7.93
361,2018-06-10 21:54:07,4.07,7.85
362,2018-06-10 21:55:07,4.07,7.63
363,2018-06-10 21:56:07,4.03,7.59
364,2018-06-10 21:57:07,4.03,7.55
365,2018-06-10 21:58:07,3.99,7.76
366,2018-06-10 21:59:07,3.94,7.89
367,2018-06-10 22:00:07,3.90,7.93
368,2018-06-10 22:01:07,3.90,7.68
369,2018-06-10 22:02:07,3.86,7.46
370,2018-06-10 22:03:07,3.82,7.63
371,2018-06-10 22:04:07,3.77,7.72
372,2018-06-10 22:05:07,3.77,7.68
373,2018-06-10 22:06:07,3.73,7.76
374,2018-06-10 22:07:07,3.73,7.59
375,2018-06-10 22:08:07,3.69,7.38
376,2018-06-10 22:09:07,3.64,6.99
377,2018-06-10 22:10:07,3.60,6.52
378,2018-06-10 22:11:07,3.60,6.22
379,2018-06-10 22:12:07,3.52,6.13
380,2018-06-10 22:13:07,3.56,6.00
381,2018-06-10 22:14:07,3.52,5.79
382,2018-06-10 22:15:07,3.52,5.79
383,2018-06-10 22:16:07,3.39,5.92
384,2018-06-10 22:17:07,3.39,5.96
385,2018-06-10 22:18:07,3.39,6.17
386,2018-06-10 22:19:07,3.39,6.39
387,2018-06-10 22:20:07,3.34,6.48
388,2018-06-10 22:21:07,3.30,6.65
389,2018-06-10 22:22:07,3.30,6.73
390,2018-06-10 22:23:07,3.26,6.35
391,2018-06-10 22:24:07,3.21,6.48
392,2018-06-10 22:25:07,3.17,6.56
393,2018-06-10 22:26:07,3.17,6.52
394,2018-06-10 22:27:07,3.13,6.48
395,2018-06-10 22:28:07,3.13,6.56
396,2018-06-10 22:29:07,3.09,6.56
397,2018-06-10 22:30:07,3.09,6.78
398,2018-06-10 22:31:07,3.04,6.90
399,2018-06-10 22:32:07,3.04,6.78
400,2018-06-10 22:33:07,3.04,6.82
401,2018-06-10 22:34:07,3.00,6.65
402,2018-06-10 22:35:07,2.96,6.35
403,2018-06-10 22:36:07,3.00,6.39
404,2018-06-10 22:37:07,3.00,6.22
405,2018-06-10 22:38:07,2.96,6.09
406,2018-06-10 22:39:07,2.91,6.00
407,2018-06-10 22:40:07,2.91,5.92
408,2018-06-10 22:41:07,2.96,6.00
409,2018-06-10 22:42:07,2.91,6.17
410,2018-06-10 22:43:07,2.87,6.26
411,2018-06-10 22:44:07,2.87,6.26
412,2018-06-10 22:45:07,2.83,5.92
413,2018-06-10 22:46:07,2.79,5.87
414,2018-06-10 22:47:07,2.83,5.87
415,2018-06-10 22:48:07,2.79,6.17
416,2018-06-10 22:49:07,2.74,6.30
417,2018-06-10 22:50:07,2.74,6.26
418,2018-06-10 22:51:07,2.74,6.26
419,2018-06-10 22:52:07,2.74,6.52
420,2018-06-10 22:53:07,2.66,6.26
421,2018-06-10 22:54:07,2.70,6.13
422,2018-06-10 22:55:07,2.61,6.22
423,2018-06-10 22:56:07,2.57,6.13
424,2018-06-10 22:57:07,2.57,6.30
425,2018-06-10 22:58:07,2.57,6.22
426,2018-06-10 22:59:07,2.57,6.00
427,2018-06-10 23:00:07,2.57,5.87
428,2018-06-10 23:01:07,2.57,5.75
429,2018-06-10 23:02:07,2.53,5.79
430,2018-06-10 23:03:07,2.49,5.83
431,2018-06-10 23:04:07,2.44,5.87
432,2018-06-10 23:05:07,2.44,5.92
433,2018-06-10 23:06:07,2.40,6.00
434,2018-06-10 23:07:07,2.40,6.00
435,2018-06-10 23:08:07,2.36,6.00
436,2018-06-10 23:09:07,2.40,5.92
437,2018-06-10 23:10:07,2.36,5.75
438,2018-06-10 23:11:07,2.36,5.79
439,2018-06-10 23:12:07,2.31,5.75
440,2018-06-10 23:13:07,2.31,5.70
441,2018-06-10 23:14:07,2.23,5.62
442,2018-06-10 23:15:07,2.23,5.79
443,2018-06-10 23:16:07,2.23,5.83
444,2018-06-10 23:17:07,2.23,5.92
445,2018-06-10 23:18:07,2.23,5.92
446,2018-06-10 23:19:07,2.19,5.96
447,2018-06-10 23:20:07,2.19,5.87
448,2018-06-10 23:21:07,2.14,6.00
449,2018-06-10 23:22:07,2.14,5.92
450,2018-06-10 23:23:07,2.14,5.75
451,2018-06-10 23:24:07,2.10,5.75
452,2018-06-10 23:25:07,2.10,5.49
453,2018-06-10 23:26:07,2.06,5.27
454,2018-06-10 23:27:07,2.14,5.19
455,2018-06-10 23:28:07,2.06,5.19
456,2018-06-10 23:29:07,2.06,5.23
457,2018-06-10 23:30:07,2.01,5.15
458,2018-06-10 23:31:07,1.97,5.19
459,2018-06-10 23:32:07,1.93,5.06
460,2018-06-10 23:33:07,2.01,4.89
461,2018-06-10 23:34:07,1.97,4.89
462,2018-06-10 23:35:07,1.97,4.84
463,2018-06-10 23:36:07,1.93,4.84
464,2018-06-10 23:37:07,1.88,4.76
465,2018-06-10 23:38:07,1.88,4.84
466,2018-06-10 23:39:07,1.88,5.02
467,2018-06-10 23:40:07,1.88,4.84
468,2018-06-10 23:41:07,1.84,5.02
469,2018-06-10 23:42:07,1.84,5.02
470,2018-06-10 23:43:07,1.76,4.97
471,2018-06-10 23:44:07,1.76,4.89
472,2018-06-10 23:45:07,1.80,5.19
473,2018-06-10 23:46:07,1.76,5.62
474,2018-06-10 23:47:07,1.76,5.49
475,2018-06-10 23:48:07,1.71,5.36
476,2018-06-10 23:49:07,1.71,5.19
477,2018-06-10 23:50:07,1.67,5.40
478,2018-06-10 23:51:07,1.67,5.40
479,2018-06-10 23:52:07,1.63,5.32
480,2018-06-10 23:53:07,1.63,5.40
481,2018-06-10 23:54:07,1.63,5.57
482,2018-06-10 23:55:07,1.63,5.62
483,2018-06-10 23:56:07,1.67,5.62
484,2018-06-10 23:57:07,1.63,5.53
485,2018-06-10 23:58:07,1.63,5.45
486,2018-06-10 23:59:07,1.58,5.32
487,2018-06-11 0:00:07,1.58,5.19
488,2018-06-11 0:01:07,1.54,5.02
489,2018-06-11 0:02:07,1.58,4.80
490,2018-06-11 0:03:07,1.54,4.67
491,2018-06-11 0:04:07,1.58,4.67
492,2018-06-11 0:05:07,1.58,4.72
493,2018-06-11 0:06:07,1.54,4.50
494,2018-06-11 0:07:07,1.58,4.50
495,2018-06-11 0:08:07,1.54,4.59
496,2018-06-11 0:09:07,1.54,4.59
497,2018-06-11 0:10:07,1.50,4.76
498,2018-06-11 0:11:07,1.50,4.93
499,2018-06-11 0:12:07,1.50,5.15
500,2018-06-11 0:13:07,1.54,5.02
501,2018-06-11 0:14:07,1.50,4.76
502,2018-06-11 0:15:07,1.50,4.63
503,2018-06-11 0:16:07,1.54,4.63
504,2018-06-11 0:17:07,1.46,4.80
505,2018-06-11 0:18:07,1.50,4.93
506,2018-06-11 0:19:07,1.50,4.76
507,2018-06-11 0:20:07,1.46,4.76
508,2018-06-11 0:21:07,1.50,4.63
509,2018-06-11 0:22:07,1.46,4.54
510,2018-06-11 0:23:07,1.46,4.59
511,2018-06-11 0:24:07,1.46,4.63
512,2018-06-11 0:25:07,1.41,4.80
513,2018-06-11 0:26:07,1.41,4.93
514,2018-06-11 0:27:07,1.46,5.10
515,2018-06-11 0:28:07,1.46,5.15
516,2018-06-11 0:29:07,1.41,5.32
517,2018-06-11 0:30:07,1.41,5.36
518,2018-06-11 0:31:07,1.41,5.15
519,2018-06-11 0:32:07,1.37,5.02
520,2018-06-11 0:33:07,1.41,5.06
521,2018-06-11 0:34:07,1.37,5.06
522,2018-06-11 0:35:07,1.37,5.02
523,2018-06-11 0:36:07,1.33,4.72
524,2018-06-11 0:37:07,1.37,4.63
525,2018-06-11 0:38:07,1.33,4.63
526,2018-06-11 0:39:07,1.33,4.72
527,2018-06-11 0:40:07,1.33,4.76
528,2018-06-11 0:41:07,1.33,4.80
529,2018-06-11 0:42:07,1.33,4.89
530,2018-06-11 0:43:07,1.28,4.59
531,2018-06-11 0:44:07,1.24,4.46
532,2018-06-11 0:45:07,1.28,4.46
533,2018-06-11 0:46:07,1.28,4.37
534,2018-06-11 0:47:07,1.28,4.50
535,2018-06-11 0:48:07,1.33,4.54
536,2018-06-11 0:49:07,1.24,4.42
537,2018-06-11 0:50:07,1.28,4.37
538,2018-06-11 0:51:07,1.28,4.33
539,2018-06-11 0:52:07,1.24,4.50
540,2018-06-11 0:53:07,1.28,4.59
541,2018-06-11 0:54:07,1.24,4.50
542,2018-06-11 0:55:07,1.24,4.24
543,2018-06-11 0:56:07,1.24,4.07
544,2018-06-11 0:57:07,1.24,4.29
545,2018-06-11 0:58:07,1.20,4.24
546,2018-06-11 0:59:07,1.20,4.42
547,2018-06-11 1:00:07,1.20,4.33
548,2018-06-11 1:01:07,1.20,4.42
549,2018-06-11 1:02:07,1.16,4.37
550,2018-06-11 1:03:07,1.16,4.33
551,2018-06-11 1:04:07,1.20,4.29
552,2018-06-11 1:05:07,1.20,4.16
553,2018-06-11 1:06:07,1.16,4.24
554,2018-06-11 1:07:07,1.11,4.24
555,2018-06-11 1:08:07,1.11,4.33
556,2018-06-11 1:09:07,1.16,4.42
557,2018-06-11 1:10:07,1.11,4.37
558,2018-06-11 1:11:07,1.16,4.46
559,2018-06-11 1:12:07,1.16,4.20
560,2018-06-11 1:13:07,1.07,4.16
561,2018-06-11 1:14:07,1.07,4.42
562,2018-06-11 1:15:07,1.07,4.42
563,2018-06-11 1:16:07,1.07,4.33
564,2018-06-11 1:17:07,1.07,4.33
565,2018-06-11 1:18:07,1.03,4.12
566,2018-06-11 1:19:07,1.03,4.07
567,2018-06-11 1:20:07,1.03,4.07
568,2018-06-11 1:21:07,0.94,3.90
569,2018-06-11 1:22:07,0.98,3.94
570,2018-06-11 1:23:07,1.03,3.90
571,2018-06-11 1:24:07,0.98,3.94
572,2018-06-11 1:25:07,0.94,3.94
573,2018-06-11 1:26:07,0.98,3.99
574,2018-06-11 1:27:07,0.94,4.03
575,2018-06-11 1:28:07,0.90,3.94
576,2018-06-11 1:29:07,0.94,3.64
577,2018-06-11 1:30:07,0.90,3.34
578,2018-06-11 1:31:07,0.90,3.30
579,2018-06-11 1:32:07,0.90,3.21
580,2018-06-11 1:33:07,0.90,3.34
581,2018-06-11 1:34:07,0.90,3.30
582,2018-06-11 1:35:07,0.86,3.34
583,2018-06-11 1:36:07,0.81,3.47
584,2018-06-11 1:37:07,0.77,3.56
585,2018-06-11 1:38:07,0.81,3.43
586,2018-06-11 1:39:07,0.77,3.39
587,2018-06-11 1:40:07,0.77,3.43
588,2018-06-11 1:41:07,0.73,3.43
589,2018-06-11 1:42:07,0.73,3.43
590,2018-06-11 1:43:07,0.68,3.47
591,2018-06-11 1:44:07,0.73,3.60
592,2018-06-11 1:45:07,0.64,3.34
593,2018-06-11 1:46:07,0.60,3.39
594,2018-06-11 1:47:07,0.60,3.43
595,2018-06-11 1:48:07,0.60,3.17
596,2018-06-11 1:49:07,0.55,3.30
597,2018-06-11 1:50:07,0.55,3.26
598,2018-06-11 1:51:07,0.47,3.17
599,2018-06-11 1:52:07,0.51,2.79
600,2018-06-11 1:53:07,0.43,2.74
601,2018-06-11 1:54:07,0.43,2.91
602,2018-06-11 1:55:07,0.38,3.09
603,2018-06-11 1:56:07,0.38,3.00
604,2018-06-11 1:57:07,0.38,3.13
605,2018-06-11 1:58:07,0.34,3.39
606,2018-06-11 1:59:07,0.34,3.52
